건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
15001,주유소,8980,2,979587.4027,1957087.836
15001,주유소,8977,2,979586.143,1957065.475
15001,주유소,8982,2,979597.1764,1957083.471
15001,주유소,8981,2,979591.4199,1957081.059
15001,주유소,9607,2,981170.8192,1959002.127
15001,주유소,9551,2,982666.7818,1959608.913
15001,주유소,9510,2,982688.2029,1960385.482
15001,주유소,9511,2,982697.3977,1960416.62
15001,주유소,76833,2,966641.1163,1960428.891
15001,주유소,59988,2,965791.8366,1964367.814
15001,주유소,69810,2,971240.3092,1961222.786
15001,주유소,65597,2,971080.0589,1963218.086
15001,주유소,65598,2,971063.1025,1963202.004
15001,주유소,69293,2,971174.0676,1963389.772
15001,주유소,69294,2,971198.305,1963408.026
15001,주유소,69295,2,971193.8949,1963389.514
15001,주유소,63925,2,971699.7315,1966919.468
15001,주유소,63926,2,971701.7685,1966944.733
15001,주유소,41586,2,971674.0049,1967014.545
15001,주유소,41585,2,971686.4763,1967000.043
15001,주유소,33573,2,977353.8548,1955639.543
15001,주유소,33574,2,977363.2816,1955632.17
15001,주유소,6984,2,972418.891,1963315.335
15001,주유소,6952,2,972508.9688,1963412.451
15001,주유소,6953,2,972519.6794,1963425.395
15001,주유소,26444,2,973786.164,1963873.192
15001,주유소,7108,2,973867.4247,1963849.259
15001,주유소,7107,2,973870.9858,1963860.665
15001,주유소,7223,2,974720.9187,1965727.077
15001,주유소,68655,2,970787.7019,1957567.317
15001,주유소,25869,2,970495.5145,1959560.897
15001,주유소,7470,2,970506.9833,1959563.146
15001,주유소,7490,2,970359.211,1959899.301
15001,주유소,17514,2,966375.9203,1967594.227
15001,주유소,17512,2,966362.3752,1967586.239
15001,주유소,17515,2,966360.5537,1967601.883
15001,주유소,66958,2,972280.909,1967933.869
15001,주유소,53229,2,973937.8981,1959120.546
15001,주유소,53227,2,973961.5921,1959149.626
15001,주유소,53228,2,973963.223,1959154.572
15001,주유소,27847,2,968026.7336,1960766.134
15001,주유소,27728,2,969928.4806,1961288.711
15001,주유소,27743,2,970725.6836,1961166.07
15001,주유소,38841,2,972145.9606,1955041.387
15001,주유소,38849,2,972153.5298,1955019.128
15001,주유소,38850,2,972158.6331,1955018.615
15001,주유소,38853,2,972137.3502,1955016.892
15001,주유소,38848,2,972164.4346,1955019.577
15001,주유소,38847,2,972146.7479,1955026.137
15001,주유소,38749,2,973055.7242,1955015.34
15001,주유소,38750,2,973016.5245,1955030.203
15001,주유소,38751,2,973005.7229,1955015.321
15001,주유소,8613,2,985722.0959,1955033.613
15001,주유소,8614,2,985741.0206,1955037.489
15001,주유소,8615,2,985732.0878,1955021.141
15001,주유소,8400,2,986740.1301,1959030.554
15001,주유소,8358,2,987258.6088,1959902.955
15001,주유소,8353,2,987431.1822,1959998.281
15001,주유소,8291,2,988342.55,1961237.923
15001,주유소,65034,2,965658.4614,1960947.36
15001,주유소,7432,2,965578.1506,1960999.727
15001,주유소,7818,2,974226.4472,1964603.58
15001,주유소,7840,2,973922.4465,1965606.079
15001,주유소,7835,2,973696.017,1965871.766
15001,주유소,7802,2,972940.7198,1966943.054
15001,주유소,68787,2,970785.4393,1954231.383
15001,주유소,16536,2,985159.1561,1961642.68
2001,아파트,11361,2,969616.7449,1956329.311
2001,아파트,11362,2,969674.4922,1956361.12
2001,아파트,57408,2,970410.4823,1956668.621
2001,아파트,57407,2,970403.8559,1956670.799
2001,아파트,75483,2,970311.6616,1956585.838
2001,아파트,75484,2,970314.5442,1956515.147
2001,아파트,75485,2,970344.9853,1956530.272
2001,아파트,75486,2,970347.4192,1956458.503
2001,아파트,75487,2,970377.2723,1956474.035
2001,아파트,75488,2,970418.3604,1956495.439
2001,아파트,75489,2,970393.6972,1956435.303
2001,아파트,75490,2,970413.8225,1956403.958
2001,아파트,75491,2,970447.4608,1956419.793
2001,아파트,75492,2,970481.4704,1956487.602
2001,아파트,75493,2,970499.2229,1956538.382
2001,아파트,75494,2,970448.8239,1956553.449
2001,아파트,75495,2,970470.896,1956590.019
2001,아파트,75496,2,970451.5838,1956630.418
2001,아파트,75515,2,970467.2817,1956522.945
2001,아파트,75516,2,970432.8729,1956585.669
2001,아파트,75517,2,970387.3075,1956552.045
2001,아파트,75518,2,970409.4477,1956613.42
2001,아파트,75554,2,970347.1885,1956613.358
2001,아파트,75555,2,970434.1853,1956459.845
2001,아파트,35435,2,977042.2506,1961016.25
2001,아파트,35431,2,977177.1888,1960942.972
2001,아파트,35432,2,977142.0461,1960924.517
2001,아파트,35433,2,977067.714,1960928.883
2001,아파트,35437,2,977108.8495,1960950.845
2001,아파트,35440,2,977007.159,1960989.177
2001,아파트,35442,2,977089.8552,1961022.845
2001,아파트,35438,2,977080.2055,1960959.705
2001,아파트,35434,2,977098.5101,1960910.515
2001,아파트,35441,2,977172.6661,1961040.284
2001,아파트,35439,2,977185.7385,1960985.174
2001,아파트,35436,2,977174.5543,1961013.004
2001,아파트,11478,2,979746.323,1961671.732
2001,아파트,11479,2,979587.142,1961691.087
2001,아파트,11487,2,979888.6974,1961653.428
2001,아파트,11482,2,979857.3129,1961618.774
2001,아파트,11483,2,979826.5897,1961653.049
2001,아파트,11484,2,979776.8237,1961632.205
2001,아파트,11477,2,979637.1805,1961665.881
2001,아파트,11480,2,979710.4824,1961652.977
2001,아파트,11493,2,979559.1602,1961608.19
2001,아파트,11490,2,979752.7383,1961523.636
2001,아파트,11494,2,979591.4958,1961579.51
2001,아파트,11496,2,979653.8817,1961531.909
2001,아파트,11497,2,979634.208,1961586.252
2001,아파트,11489,2,979801.6137,1961548.212
2001,아파트,11492,2,979690.0708,1961495.872
2001,아파트,11491,2,979719.3245,1961563.157
2001,아파트,11446,2,981308.4274,1961814.633
2001,아파트,11439,2,981221.0013,1961824.142
2001,아파트,11440,2,981190.2476,1961869.004
2001,아파트,11441,2,981183.4795,1961918.192
2001,아파트,11444,2,981275.5364,1961868.935
2001,아파트,11447,2,981171.004,1961833.168
2001,아파트,11437,2,981142.2476,1961835.117
2001,아파트,11436,2,981232.5411,1961891.912
2001,아파트,11438,2,981131.3467,1961889.696
2001,아파트,23243,2,984028.3371,1961347.323
2001,아파트,23244,2,984132.6871,1961325.828
2001,아파트,23245,2,983989.6702,1961285.771
2001,아파트,23246,2,984079.1982,1961266.528
2001,아파트,23248,2,984168.3623,1961285.989
2001,아파트,23249,2,983947.6343,1961258.759
2001,아파트,23251,2,983989.5852,1961229.892
2001,아파트,23252,2,984033.1027,1961180.988
2001,아파트,23242,2,984091.4287,1961208.196
2001,아파트,23254,2,984073.6297,1961131.091
2001,아파트,23253,2,983973.3658,1961153.671
2001,아파트,23255,2,984118.0621,1961172.744
2001,아파트,1831,2,973115.4136,1969673.571
2001,아파트,1832,2,973059.5583,1969711.768
2001,아파트,1833,2,973075.6106,1969760.464
2001,아파트,1834,2,973132.3897,1969733.579
2001,아파트,1836,2,973077.4628,1969812.922
2001,아파트,1835,2,973119.3445,1969763.048
2001,아파트,1851,2,972979.4135,1969595.97
2001,아파트,1852,2,972919.934,1969570.295
2001,아파트,1842,2,973082.1732,1969583.617
2001,아파트,1846,2,972906.0602,1969405.966
2001,아파트,1847,2,972864.0531,1969433.174
2001,아파트,1844,2,972997.4478,1969481.275
2001,아파트,1853,2,972894.9655,1969502.345
2001,아파트,1848,2,972950.5999,1969491.784
2001,아파트,1849,2,972997.5431,1969547.285
2001,아파트,1850,2,973035.1765,1969614.195
2001,아파트,1843,2,973039.5378,1969527.623
2001,아파트,1845,2,972961.7087,1969424.598
2001,아파트,24883,2,972730.4118,1969992.481
2001,아파트,24884,2,972747.089,1969890.354
2001,아파트,24880,2,972724.4623,1969941.347
2001,아파트,24881,2,972705.291,1970006.248
2001,아파트,24894,2,972832.8199,1970111.242
2001,아파트,24895,2,972801.4777,1969986.24
2001,아파트,24896,2,972808.6539,1969931.622
2001,아파트,24888,2,972791.8262,1970085.103
2001,아파트,24893,2,972830.8046,1970043.24
2001,아파트,24892,2,972776.8007,1970032.162
