건물용도코드,건물종류,건물일련번호,가점척도,lon,lat
14999,기타창고시설,69539,1,965403.7511,1963440.889
14999,기타창고시설,69642,1,965278.7011,1964857.148
14999,기타창고시설,61916,1,965475.433,1964781.227
14999,기타창고시설,82530,1,965468.6744,1964656.521
14999,기타창고시설,71477,1,972001.8543,1957381.609
14999,기타창고시설,76156,1,971813.7223,1957510.514
14999,기타창고시설,69122,1,972075.2988,1957755.197
14999,기타창고시설,71832,1,972093.954,1957748.283
14999,기타창고시설,71833,1,972134.1166,1957736.335
14999,기타창고시설,81964,1,972064.8643,1957987.557
14999,기타창고시설,68066,1,972836.8884,1958711.95
14999,기타창고시설,68067,1,972818.9732,1958687.757
14999,기타창고시설,73260,1,973157.8729,1958909.331
14999,기타창고시설,10883,1,973284.5989,1959288.518
14999,기타창고시설,80289,1,975792.8383,1959957.064
14999,기타창고시설,82812,1,976063.14,1960008.451
14999,기타창고시설,69463,1,977824.7121,1961460.224
14999,기타창고시설,70084,1,982264.3563,1961315.393
14999,기타창고시설,67183,1,986782.8883,1961797.136
14999,기타창고시설,70307,1,986783.6994,1961869.857
14999,기타창고시설,75982,1,987191.7018,1962489.847
14999,기타창고시설,76924,1,987296.6384,1962392.59
14999,기타창고시설,70703,1,987685.939,1962650.552
14999,기타창고시설,60923,1,988071.9498,1962544.349
14999,기타창고시설,70308,1,988271.0335,1962462.831
14999,기타창고시설,70438,1,988992.8144,1962804.54
14999,기타창고시설,73810,1,969714.196,1964399.262
14999,기타창고시설,73233,1,969876.1853,1964835.85
14999,기타창고시설,10275,1,970107.0941,1965192.116
14999,기타창고시설,63148,1,970105.1525,1965532.653
14999,기타창고시설,70239,1,970009.9928,1966616.177
14999,기타창고시설,78576,1,970256.5196,1966608.604
14999,기타창고시설,62265,1,972409.1309,1968746.509
14999,기타창고시설,62266,1,972440.2566,1968814.907
14999,기타창고시설,70329,1,972814.2693,1970369.874
14999,기타창고시설,62856,1,974298.5563,1972124.048
14999,기타창고시설,10394,1,974654.625,1972397.859
14999,기타창고시설,62289,1,975130.9613,1972738.572
14999,기타창고시설,51819,1,971357.7421,1957113.186
14999,기타창고시설,51816,1,971380.085,1957156.713
14999,기타창고시설,75477,1,971726.6698,1957206.284
14999,기타창고시설,68929,1,971824.0233,1957229.475
14999,기타창고시설,76771,1,971838.3614,1957178.912
14999,기타창고시설,79338,1,972042.1183,1957177.652
14999,기타창고시설,78988,1,971863.5475,1957056.083
14999,기타창고시설,69671,1,971961.4889,1956985.937
14999,기타창고시설,68356,1,972111.7646,1956758.537
14999,기타창고시설,67558,1,972192.0125,1956572.789
14999,기타창고시설,67555,1,972253.7568,1956562.44
14999,기타창고시설,71185,1,972296.9844,1956549.798
14999,기타창고시설,69992,1,972207.6848,1956669.839
14999,기타창고시설,69986,1,972431.542,1956365.903
14999,기타창고시설,69756,1,972356.7823,1956215.729
14999,기타창고시설,69292,1,972369.6941,1956244.259
14999,기타창고시설,69291,1,972402.6724,1956216.518
14999,기타창고시설,69042,1,972731.9937,1956397.525
14999,기타창고시설,75813,1,972859.1106,1956351.809
14999,기타창고시설,60344,1,972669.5819,1956070.577
14999,기타창고시설,59619,1,972595.0139,1956031.618
14999,기타창고시설,75077,1,976480.4813,1951261.26
14999,기타창고시설,70355,1,976985.8336,1950112.874
14999,기타창고시설,70356,1,976982.2744,1950117.026
14999,기타창고시설,71474,1,979525.9455,1948258.703
14999,기타창고시설,69662,1,967312.3314,1960418.911
14999,기타창고시설,19317,1,967436.3026,1961184.469
14999,기타창고시설,69451,1,967466.9151,1961367.571
14999,기타창고시설,69450,1,967448.3423,1961387.063
14999,기타창고시설,69452,1,967494.9096,1961390.305
14999,기타창고시설,69453,1,967475.9323,1961404.408
14999,기타창고시설,74330,1,967427.1744,1961601.751
14999,기타창고시설,61977,1,967428.5111,1961663.152
14999,기타창고시설,62010,1,967462.3892,1961612.503
14999,기타창고시설,62011,1,967460.4693,1961606.116
14999,기타창고시설,61975,1,967424.6793,1961852.666
14999,기타창고시설,79495,1,967423.5918,1962522.836
