id,Name,Sido,Gungu,sub1_nm,sub1_code,sub2_nm,sub2_code,sub3_nm,sub3_code,cat_gu,main_code,x,y,code,Fee,Status,Ltot_13,Ltot_14,Ltot_15,Lt_1301,Lt_1302,Lt_1303,Lt_1304,Lt_1305,Lt_1306,Lt_1307,Lt_1308,Lt_1309,Lt_1310,Lt_1311,Lt_1312,Lt_1401,Lt_1402,Lt_1403,Lt_1404,Lt_1405,Lt_1406,Lt_1407,Lt_1408,Lt_1409,Lt_1410,Lt_1411,Lt_1412,Lt_1501,Lt_1502,Lt_1503,Lt_1504,Lt_1505,Lt_1506,Lt_1507,Lt_1508,Lt_1509,Lt_1510,Lt_1511,Lt_1512,Ftot_13,Ftot_14,Ftot_15,Ft_1301,Ft_1302,Ft_1303,Ft_1304,Ft_1305,Ft_1306,Ft_1307,Ft_1308,Ft_1309,Ft_1310,Ft_1311,Ft_1312,Ft_1401,Ft_1402,Ft_1403,Ft_1404,Ft_1405,Ft_1406,Ft_1407,Ft_1408,Ft_1409,Ft_1410,Ft_1411,Ft_1412,Ft_1501,Ft_1502,Ft_1503,Ft_1504,Ft_1505,Ft_1506,Ft_1507,Ft_1508,Ft_1509,Ft_1510,Ft_1511,Ft_1512
1,가야 컨트리클럽,경상남도,김해시,관광장소 및 시설,C,스포츠ㆍ체육시설,C04,골프장,C0406,골프장,스포츠체육시설,481394,297673,정좌표,유료,내국인,275089,247269,231787,11079,17549,26116,20328,24275,26044,31799,29785,28917,21459,20690,17048,12632,15882,20577,21426,25951,26118,25850,21279,21624,20778,20282,14870,13968,16582,19449,19083,6416,26986,25569,22865,22250,21619,19475,17525,53,0,0,0,0,0,0,0,0,0,0,0,24,19,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,국립 김해 박물관,경상남도,김해시,관광장소 및 시설,C,전시ㆍ관람시설,C03,박물관(국립ㆍ사립),C0302,문화시설,문화시설,479778,294107,정좌표,무료,내국인,274592,345885,461289,30558,24485,25236,18118,26746,20569,21806,19018,33084,27044,15278,12650,19061,14855,9073,33258,35295,28375,31447,41826,35739,42448,31383,23125,37465,25456,20852,40345,48869,18128,28782,50489,44821,57091,31922,57069,3008,2761,2791,71,812,271,65,62,35,138,267,414,352,383,138,186,42,16,341,319,150,266,210,344,257,422,208,51,144,187,253,239,162,348,196,187,250,338,436
