번호 ,주소,lat,lon
1,0,37.596176,127.17211840000002
2,1,37.5982806,127.18437420000001
3,2,37.5980883,127.1841838
4,3,37.60260460000001,127.1859239
5,4,37.595671100000004,127.1723233
6,5,37.5999174,127.1656264
7,6,37.5976032,127.16761470000002
8,7,37.5970035,127.1624575
9,8,37.5984746,127.16177179999998
10,9,37.5998508,127.1648763
11,10,37.5859178,127.1707352
12,11,37.6043994,127.15854099999999
13,12,37.6044925,127.15631
15,13,37.654428100000004,127.1776788
16,14,37.5986684,127.1692706
17,15,37.599954100000005,127.16546969999999
18,16,37.599954100000005,127.16546969999999
19,17,37.600711499999996,127.18292079999999
20,18,37.5958561,127.16405800000001
21,19,37.596383,127.1640216
22,20,37.5960705,127.1655753
23,21,37.6045825,127.159582
24,22,37.60591470000001,127.15813200000001
26,23,37.6044501,127.15870079999999
27,24,37.6022198,127.18408889999999
28,25,37.6025025,127.1545601
29,26,37.6025025,127.1545601
30,27,37.6016157,127.15823490000001
31,28,37.5997443,127.1595118
32,29,37.5983233,127.16102830000001
33,30,37.5994014,127.1605847
35,31,37.59986729999999,127.1593953
36,32,37.6027723,127.1555446
37,33,37.602233500000004,127.15655859999998
39,34,37.601212,127.1567162
40,35,37.6004175,127.15712490000001
41,36,37.600885,127.1568558
42,37,37.6002354,127.1558541
43,38,37.6006597,127.15698629999999
44,39,37.6004175,127.15712490000001
45,40,37.599999,127.1573301
46,41,37.5997082,127.15748740000001
47,42,37.5992713,127.15775049999999
48,43,37.5993343,127.15659109999999
49,44,37.5981091,127.15739779999998
50,45,37.598298299999996,127.15890300000001
51,46,37.59986729999999,127.1593953
52,47,37.597537,127.16005759999999
53,48,37.5992287,127.1695377
54,49,37.59694520000001,127.1738753
55,50,37.6058432,127.1760885
56,51,37.608978,127.178004
57,52,37.5857732,127.1661885
59,53,37.5858697,127.1720899
60,54,37.586564,127.17022800000001
61,55,37.5856438,127.1708435
62,56,37.586921999999994,127.1691264
63,57,37.588891,127.1655842
65,58,37.5889045,127.1699264
66,59,37.6016799,127.17977090000001
67,60,37.6060467,127.18555829999998
68,61,37.6060467,127.18555829999998
69,62,37.606751700000004,127.18861840000001
70,63,37.6042158,127.19328929999999
72,64,37.602911600000006,127.1929693
73,65,37.6129771,127.1754212
74,66,37.5931699,127.19778090000001
75,67,37.594017,127.1970152
77,68,37.592003999999996,127.199298
78,69,37.6069506,127.18270349999999
79,70,37.611119200000005,127.1905961
80,71,37.61009489999999,127.1904352
81,72,37.601851399999994,127.19433529999999
84,73,37.6349629,127.21289679999998
85,74,37.634448,127.2131017
87,75,37.6341919,127.21441750000001
88,76,37.63506160000001,127.21391659999999
89,77,37.6352251,127.2151111
90,78,37.6355584,127.2160832
