연번,차량등록지,lat,lon,보급연도
115,경기도 남양주시 ,37.63686694,127.2115447,2020
116,경기도 남양주시 ,37.61148411,127.1572573,2020
117,경기도 남양주시 ,37.73236171,127.1930167,2020
118,경기도 남양주시 ,37.6576951,127.254546,2020
119,경기도 남양주시 ,37.6593214,127.1808464,2020
120,경기도 남양주시 ,37.71050399,127.1159584,2020
121,경기도 남양주시 ,37.64955896,127.2432367,2020
122,경기도 남양주시 ,37.61058933,127.1595274,2020
123,경기도 남양주시 ,37.64831298,127.1162789,2020
124,경기도 남양주시 ,37.66488899,127.2465854,2020
125,경기도 남양주시 ,37.64469658,127.1128969,2020
126,경기도 남양주시 ,37.66722963,127.1127799,2020
127,경기도 남양주시 ,37.72965182,127.1907582,2020
128,경기도 남양주시 ,37.5809922,127.2151581,2020
129,경기도 남양주시 ,37.65778267,127.3010289,2020
130,경기도 남양주시 ,37.70871605,127.1205057,2020
131,경기도 남양주시 ,37.67923503,127.2136488,2020
132,경기도 남양주시 ,37.6600412,127.1196198,2020
133,경기도 남양주시 ,37.57830703,127.223096,2020
134,경기도 남양주시 ,37.58821914,127.2219266,2020
135,경기도 남양주시 ,37.6405204,127.2319331,2020
136,경기도 남양주시 ,37.72695675,127.1941738,2020
137,경기도 남양주시 ,37.6267935,127.1526539,2020
138,경기도 남양주시 ,37.72423794,127.1885112,2020
139,경기도 남양주시 ,37.62770148,127.1549163,2020
140,경기도 남양주시 ,37.59092317,127.2219166,2020
141,경기도 남양주시 ,37.71880877,127.1805913,2020
142,경기도 남양주시 ,37.57560034,127.2219736,2020
143,경기도 남양주시 ,37.60786885,127.1538749,2020
144,경기도 남양주시 ,37.64606527,127.3010602,2020
145,경기도 남양주시 ,37.73868847,127.1998004,2020
146,경기도 남양주시 ,37.57560565,127.2242385,2020
147,경기도 남양주시 ,37.66939808,127.247704,2020
148,경기도 남양주시 ,37.6918536,127.2136003,2020
149,경기도 남양주시 ,37.65867627,127.2964915,2020
150,경기도 남양주시 ,37.64413342,127.2353207,2020
151,경기도 남양주시 ,37.57830437,127.2219635,2020
152,경기도 남양주시 ,37.66183651,127.1173431,2020
